SampleID,Name,Site,PlotType,PlotID,Forest_status,Grazing_status,QuadratID,Species,DOMIN,Grid_X,Grid_Y,PlotID
290,River Flat,3,2,,Unforested,Grazed,1,Sphagnum sp.,7,235592,817794,
286,River Flat,3,2,,Unforested,Grazed,2,Calluna vulgaris,7,235592,817795,
289,River Flat,3,2,,Unforested,Grazed,2,Erica cinerea,1,235592,817796,
236,River Flat,3,3,9,Unforested,Ungrazed,2,Erica tetralix,1,235592,817797,9
243,River Flat,3,3,,Unforested,Ungrazed,2,Hylocomium splendens,8,235592,817798,
242,River Flat,3,3,,Unforested,Ungrazed,2,Polytrichum sp.,8,235592,817799,
244,River Flat,3,3,,Unforested,Ungrazed,2,Scirpus cespitosus,5,235592,817800,
237,River Flat,3,3,,Unforested,Ungrazed,2,Sphaghum sp.,6,235592,817801,
241,River Flat,3,3,,Unforested,Ungrazed,3,Calluna vulgaris,6,235592,817802,
239,River Flat,3,3,,Unforested,Ungrazed,3,Erica tetralix,4,235592,817803,
240,River Flat,3,3,,Unforested,Ungrazed,3,Hylocomium splendens,5,235592,817804,
238,River Flat,3,3,,Unforested,Ungrazed,3,Litter,4,235592,817805,
235,River Flat,3,3,,Unforested,Ungrazed,3,Pleurozium schreberi,5,235592,817806,
246,River Flat,3,3,,Unforested,Ungrazed,3,Polytrichum sp.,3,235592,817807,
248,River Flat,3,3,,Unforested,Ungrazed,3,Potentilla erecta,3,235592,817808,
245,River Flat,3,3,,Unforested,Ungrazed,3,Sphagnum sp.,10,235592,817809,
